Artist ID,Name,Nationality,Gender,Birth Year,Death Year
386,Peter Behrens,German,Male,1868,1940
387,Edith Behring,Brazilian,Female,1916,1996
388,John Behringer,American,Male,1939,
389,J. J. Beljon,Dutch,Male,1922,2002
390,Alistair Macready Bell,Canadian,Male,1913,1997
391,Charles M. Bell,American,Male,1848,1893
392,Larry Bell,American,Male,1939,
393,Vanessa Bell,British,Female,1879,1961
394,William H. Bell,American,Male,1830,1910
395,Ross Bellah,American,Male,1907,2004
396,Joseph Bellanca,American,Male,1930,
397,John Bellany,British,Male,1942,2013
398,Rudolf Belling,German,Male,1886,1972
399,Mario Bellini,Italian,Male,1935,
400,Hans Bellmer,German,Male,1902,1975
401,Ernest J. Bellocq,American,Male,1873,1949
402,George Bellows,American,Male,1882,1925
403,Rossella Bellusci,Italian,Female,1947,
404,Giandomenico Belotti,Italian,Male,1922,
405,Christian Belpaire,Congolese,Male,1949,
406,Antoli Pawlowitsch Belski,Russian,Male,1896,1971
407,David Ben Shaul,Israeli,Male,,
408,Ahron Ben-Shmuel,American,Male,1903,1984
409,Ben-Zion,American,Male,1897,1987
410,Adolf Benca,American,Male,1959,
411,W. T. Benda,American,Male,1873,1948
412,C. Whitney Bender,American,,1929,
413,Niels Sylvester Bendtsen,Danish,Male,1943,
414,Nair Benedicto,Brazilian,Female,1940,
415,Luis Fernando Benedit,Argentine,Male,1937,2011
416,G. A. Beneker,American,Male,1882,1934
417,Lynda Benglis,American,Female,1941,
418,Billy Al Bengston,American,Male,1934,
419,Jim Bengston,American,Male,1942,
420,Anthony Benjamin,British,Male,,
421,Gordon Bennett,American,Male,1933,2012
422,Henry Hamilton Bennett,American,Male,1843,1908
423,Ward Bennett,American,Male,1917,2003
424,Alexander Benois,Russian,Male,1870,1960
425,David Bentley,American,Male,1938,
426,Nicholas Bentley,British,Male,1907,1978
427,Thomas Hart Benton,American,Male,1889,1975
428,Roloff Beny,Canadian,Male,1924,1984
429,Etienne (Istvan) Béothy,Hungarian,Male,1897,1962
430,Christian Bérard,French,Male,1902,1949
431,Roberto Berdecio,Bolivian,Male,1913,1996
432,Vera Berdich,American,Female,1915,2003
